ID,Type,Title,Abstract,Primary Author,Link,Primary Affiliation,CoAuthors,year
718,Contributed Poster,Assessing Student Understanding in Upper-Division Undergraduate Electricity & Magnetism I,"We apply the approaches of PER to a relatively under-studied population -- potential future physicists, or physics and astrophysics majors.  We have investigated student understanding of upper-division Electricity & Magnetism I using a variety of approaches, including: student interviews, analysis of homework and exams, and performance on the Brief Electricity and Magnetism Assessment (BEMA) and a new content-specific post-course assessment test.  We find persistent difficulties with conceptual understanding, which can hamper student success in choosing and implementing correct problem solving strategies. We compare student understanding after participation in two courses  a traditional course, and one reformed using principles of active engagement and learning theory. All course materials and evaluation tools are available for use by other instructors and researchers.",Stephanie V. Chasteen,http://www.per-central.org/perc/2008/detail.cfm?ID=718,CU Boulder,"Steven J. Pollock
CU Boulder
390 UCB
Boulder, CO 80309-0390
steven.pollock@colorado.edu",2008
747,Contributed Poster,Assessing the Concepts of Integration and Differentiation in Multivariable Calculus,"Previous work on student understanding of graphical interpretation of slope, derivative, and area under curves in various physics contexts has shown substantial difficulties, most notably in kinematics. Concurrently, several reports point toward students lack of algebraic acumen as a likely cause for their low achievement in a physics classroom. In order to see if some of the documented issues arise from being asked mathematical questions about single- and multivariable calculus concepts in a physics course, we administered a brief survey on these basic concepts to students near the end of multivariable calculus. Some of the questions are based on our earlier work in thermal physics that are essentially stripped of their physics content. Initial findings show that even after three semesters of university-level calculus, students struggle with basic concepts of integration and differentiation. Individual survey items and summative scores will be presented.

Supported in part by NSF Grants PHY-0406764, REC-0633951, and the Maine Academic Prominence Initiative.",Warren M. Christensen,http://www.per-central.org/perc/2008/detail.cfm?ID=747,"University of Maine, Center for Science and Mathematics Education Research","John R. Thompson
University of Maine
john.thompson@umit.maine.edu",2008
767,Contributed Poster,Assessing the Effect of Single-Concept Clicker Sequences on Students' Learning,"Clickers have been increasingly used in modern physics classes to facilitate students conceptual learning. At the Ohio State University, we developed, validated and implemented a series of single-concept clicker sequences for the entire calculus-based introductory physics course. Uniquely, each clicker sequence targets the same fundamental concept but contains questions with diverse surface features. To assess the effect of clicker sequences on students conceptual understanding, we conducted a comparative study between two parallel classes (a clicker class and a non-clicker class) in the spring 2008 quarter. These two classes address the same topics on waves and optics and share identical materials, including labs, recitations, homework, quizzes and tests. Results for students increased conceptual learning gains in the clicker class as compared to the non-clicker class are promising.",Lin Ding,http://www.per-central.org/perc/2008/detail.cfm?ID=767,"Department of Physics, The Ohio State University","Albert Lee, Neville W. Reay and Lei Bao",2008
806,Contributed Poster,College Students' Lunar Phases Concept Domain,"Previous research (Lindell, 2001) [NEED REFERENCE AT BOTTOM, OR REMOVE CITATION] showed that college students' lunar phases concept domain consisted of eight dimensions: Period of Moon's orbit, Period of Moon Phases, Direction of Moon's orbit around the Earth, Motion of the Moon in the sky, Phase and Sun-Earth-Moon relationship, Phases-Location in the Sky-Time of Observation relationship, Cause of Phases and Effect of Location on Earth on observed phase. Each dimension uncovered has a number of facets, each representing the scientific correct answer, as well as the different alternative models possible. In a follow-up study, interview data was collected from 25 pre-service elementary education majors. This additional study uncovered previously undiscovered difficulties students had with lunar phases. The discovery of these new difficulties resulted in the need to revise the original concept domain. The new revised concept domain will be presented.",Rebecca S. Lindell,http://www.per-central.org/perc/2008/detail.cfm?ID=806,Southern Illinois University Edwardsville,,2008
711,Contributed Poster,Comparing Student Learning with Multiple Research-Based Conceptual Surveys: CSEM and BEMA,"We present results demonstrating similar distributions of student scores, and statistically indistinguishable gains on two popular research-based assessment tools: the Brief Electricity and Magnetism Assessment (BEMA) and the Conceptual Survey of Electricity and Magnetism(CSEM). To deepen our understanding of student learning in our course environment and of these assessment tools as measures of student learning, we identify systematic trends and differences in results from these two instruments. We investigate correlations of both pre- and post- conceptual scores with other measures including traditional exam scores and course grades, student background (earlier grades), gender, a pretest of scientific reasoning, and tests of attitudes and beliefs about science and learning science. Overall, for practical purposes, we find the BEMA and CSEM are roughly equivalently useful instruments for measuring student learning in our course.",Steven Pollock,http://www.per-central.org/perc/2008/detail.cfm?ID=711,CU Boulder,,2008
723,Contributed Poster,Coupling Conceptual and Quantitative Problems to Develop Student Expertise in Introductory Physics,"We discuss the effect of administering conceptual and quantitative isomorphic problem pairs (CQIPP) back to back vs. asking students to solve only one of the problems in the CQIPP in introductory physics courses. Students who answered both questions in an CQIPP often performed better on the conceptual questions than those who answered the corresponding conceptual questions only. Although students often took advantage of the quantitative counterpart to answer a conceptual question of an IPP correctly, when only given the conceptual question, students seldom tried to convert it into a quantitative question, solve it and then reason about the solution conceptually. Even in individual interviews when students who were only given conceptual questions had difficulty and the interviewer explicitly encouraged them to convert the conceptual question into the corresponding quantitative problem by choosing appropriate variables, a majority of students were reluctant and preferred to guess the answer to the conceptual question based upon their gut feeling.",Chandralekha Singh,http://www.per-central.org/perc/2008/detail.cfm?ID=723,University of Pittsburgh,,2008
793,Contributed Poster,Curricular Process and Communicative Conception in Physics Education,"This poster describes a curricular process and its comparison with the communicative conception of physics education.

The curricular process of physics is a sequence of variant forms of curriculum mutually interconnected by six transformations, starting with the non-curricular member of the sequence  the scientific system of physics: 

CT1 = scientific system to conceptual curriculum,
CT2 = conceptual curriculum to intended curriculum,
CT3 = intended curriculum to project curriculum,
CT4 = project curriculum to operational curriculum,
CT5 = operational curriculum to implemented curriculum,
CT6 = implemented curriculum to attained curriculum.

The subject of physics education in the communicative conception is the educational communication of physics, which is defined as a continuous process of transfer of the scientific physical knowledge and methods into the minds of learners. 

Details: Educational&Didactic Communication 2007, <a href=""http://www.didaktis.sk"" class=""offsite"" target=""_blank"">www.didaktis.sk</a>",Pavol Tarabek,http://www.per-central.org/perc/2008/detail.cfm?ID=793,"Educational Publisher Didaktis, member of EEPG (European Educational Publishers Group)",,2008
727,Contributed Poster,Developing a Framework for Analyzing Student Summaries of Textbooks,"As part of an ongoing study to develop methods to do quantitative assessment of student writing and therefore measure the effectiveness of writing to learn, a framework was developed to analyze student textbook summary writing in physics.  The framework was based on Waywood, which defines three cognitive levels seen in mathematics journaling: recounting (telling what happened), summarizing (putting it into your own words), and dialoging (sense-making).  This framework was refined, expanded, and tested in the context of analyzing student textbook summary writing in introductory physics.  The students participating in this study were enrolled in the 2007 spring semester of the Foundation Physics Course at the University of Cape Town, a component of the special access program which contains mostly second language English speakers.

Waywood, A. (1992) Journal writing and learning mathematics, For the Learning of Mathematics, 12, 2, 34 - 43",Dedra Demaree,http://www.per-central.org/perc/2008/detail.cfm?ID=727,Oregon State University,"Michael Low (Oregon State University), Saalih Allie (University of Cape Town)",2008
766,Contributed Poster,Disentangling the Force Concept Inventory Using Latent Class Analysis,"This study probes the states of knowledge concerning three physics concepts, Newtons Third Law, Newtons Second Law, and the Motion/Force Relationship, as measured by several groups (factors) of FCI items. These knowledge states are not postulated, but rather extracted FCI pre/post instruction records from three universities. For each factor, via patterns of response, students were statistically grouped into latent classes, subsequently seen to correspond to (groups of) specific student misconceptions. Using Latent Transition Analysis we estimated the (transition) probabilities of students moving, pre/post, between such classes. Transitions in these factors seem uni-directional, towards classes corresponding to fewer misconceptions, indicating gains in understanding at all three universities. However, students in some latent classes are unlikely to learn, and students starting in the bottom classes appear to have virtually no chance of transitioning to the top. These results/methods can aid physics educators by providing detailed assessment of instructional effectiveness.",Ivan Ivanov,http://www.per-central.org/perc/2008/detail.cfm?ID=766,Vanier College,"Helena Dedic, Vanier College and CSLP Concordia University 
Steve Rosenfield, Vanier College and CSLP Concordia University
Nathaniel Lasry, John Abbott College",2008
820,Contributed Poster,Effect of Initial Conditions and Discussion on Predictions for Interactive Lecture Demonstrations,"Over the past eight years at McDaniel College, students predictions to various Interactive Lecture Demonstrations (ILDs) have improved markedly. One explanation is that students have become increasingly sophisticated in their understanding of kinematics and dynamics. Another possible explanation is that the class as a whole is only slightly more sophisticated, and during the discussion phase of an ILD the correct prediction is very successfully transmitted within groups and between groups. To help begin to address this idea, I created a preliminary, computer-based simulation of classroom discussion.",Jeffrey Marx,http://www.per-central.org/perc/2008/detail.cfm?ID=820,McDaniel College,,2008
780,Contributed Poster,Evaluation of Instruction Using the Conceptual Survey of Electricity and Magnetism in Mexico,"The Conceptual Survey of Electricity and Magnetism (CSEM) is regularly administered to students at the beginning of the semester as a pretest and at the end of the semester as a post-test in a large private university in Mexico. About 500 students each semester, from different engineering majors, take electricity and magnetism, divided into sections of 30-40 students so there are several different instructors, both full-time and part-time. We report on the analysis of the CSEM data using concentration analysis for the purpose of evaluation of instruction. The results showed that students learning is dependent on instructor and on CSEM concept area. Students have large learning gains in some concept areas but small learning gains in others. Deeper analysis of a concept area showed that some instructors may tend to strengthen some misconceptions that students have. The analysis can be used to give feedback to instructors for the purpose of improving instruction.",Genaro Zavala,http://www.per-central.org/perc/2008/detail.cfm?ID=780,"Tecnologico de Monterrey, Campus Monterrey","Hugo Alarcon,
Tecnologico de Monterrey, Campus Monterrey",2008
772,Contributed Poster,Examining Student Responses for Meaningful Understanding in the Context of Wavefront Aberrometry,We present a qualitative study from group learning and teaching interviews that were conducted as part of an ongoing study to examine how students use their physics knowledge in novel situations.  The data were analyzed for meaningful understanding using techniques previously presented by Lawson et al. and Nieswandt and Bellomo.  Preliminary results indicate that students primarily utilize lower-level concepts and concept links when attempting to construct an understanding of wavefront aberrometry.,Dyan L. McBride,http://www.per-central.org/perc/2008/detail.cfm?ID=772,Kansas State University,"Dean A. Zollman, dzollman@phys.ksu.edu, Kansas State University",2008
744,Contributed Poster,Examining the Effectiveness of Clickers on Student Learning by Tracking Student Responses,"Clickers have been used for a number of years to help create active learning environments in the lecture classroom [1,2].  Researchers have shown that clickers stimulate student-student and student-lecturer interaction.  In addition, students value the use of clickers and feel that these devices contribute to their understanding [3].  Unfortunately, there are few research studies focusing on how knowledge is enhanced through their use.
To contribute to this body of research, we compared student responses on exam questions to similar or identical clicker questions presented during lecture.    Analysis of the responses to clicker and exam questions show how individual student knowledge evolves during instruction.  Although there is evidence of improvement during lecture, our results indicate that many students struggled when the questions were posed on exams.  In this poster, we present the findings from this study and discuss how open-ended questions and interviews allow us to better understand how clickers are affecting our instructional environment.

supported by NSF Grant #DUE-0618128
[1] N. W. Reay, L. Bao, P. Li, R. Warnakulasooriya, and G. Baugh, Toward the effective use of voting machines in physics lectures, Am. J. Phys., Vol. 73, No. 6, 554-558 (2005).
[2] N. W. Reay, P. Li, L. Bao, Testing a New Voting MachineQuestion Methodology, Am. J. Phys., Vol. 76, No. 2, 171-178 (2008).
[3] I. D. Beatty, W. J. Gerace, W. J. Leonard, and R. J. Dufresne, Designing effective questions for classroom response system teaching, Am. J. Phys. Vol. 74, No. 1, 31-39 (2006).",Erica P. Watkins,http://www.per-central.org/perc/2008/detail.cfm?ID=744,Chicago State University,Mel S. Sabella,2008
771,Contributed Poster,Examples of Student Geometric Reasoning in Upper-Division E&M Problems,"Students use a variety of problem-solving strategies involving geometric reasoning as they solve upper-division E&M problems in Oregon State Universitys Paradigms in physics courses. Seven classroom cameras were used to capture six groups of three students each as they solved a variety of electrostatic and magnetostatic problems. We look at two examples of student problem solving to illustrate the types of things students find challenging and the types of strategies they employ. In one example, students struggled with how to use integration as chopping and adding to find the electric potential in all space due to a static ring of charge. A second example shows interesting issues students address while finding the current for a spinning ring of charge Q, radius R, and period T. An analysis of classroom video shows some of the wrestling, sense making, geometric reasoning, and problem-solving strategies these groups used to eventually make fruitful progress.",Leonard Cerny,http://www.per-central.org/perc/2008/detail.cfm?ID=771,Oregon State University,"Elizabeth Gire, Corinne Manogue",2008
745,Contributed Poster,Facilitating Change in Undergraduate STEM: Preliminary Results from an Interdisciplinary Literature ,"Although decades of research have identified effective instructional practices for improving Science, Technology, Engineering and Mathematics (STEM) education, these practices are not widely implemented.  Scholars in three fields are interested in promoting these practices and have engaged in research on pedagogical change.  Disciplinary-based STEM Education Researchers (SER) focus on changing curricula and pedagogical materials.  Faculty Development Researchers (FDR) focus on changing faculty.  Higher Education Researchers (HER) focus on policies and structures.  There is little interaction between the fields and efforts in all areas have met with only modest success. We have systematically analyzed journal articles since 1995 related to instructional change to describe and critique the change efforts of these three fields.  Results suggest that approaches to change differ by fields in important ways that have implications for their success.  We hope this literature review and related efforts will result in improved interdisciplinary work towards the facilitation of lasting change.",Charles Henderson,http://www.per-central.org/perc/2008/detail.cfm?ID=745,Western Michigan University,"Andrea Beach, Western Michigan University; Noah Finkelstein, University of Colorado - Boulder; R. Sam Larson, Kaiser Permanente and Regis University",2008
791,Contributed Poster,From Physics Major to Physics Teacher and From Elementary Teacher to Elementary Physics Teacher,"Two complementary, nationally recognized programs in PER are designed to capitalize on students' identities in efforts of recruiting and preparing more and better elementary, middle, high school, and college physics teachers and their students. The CU Boulder Learning Assistant (LA) Project is designed to help students expand their identities from physics majors to physics teachers. The Physics and Everyday Thinking Project is designed to help non-majors expand their identities from elementary teachers to elementary physics teachers. Both programs have demonstrated success in facilitating change among students. These data will be presented and discussed. Inferences will be made about which elements of each program seem to be effecting change. Emphasis is placed on how we help future teachers recognize and capitalize on their own students conceptual, cultural, linguistic, and social resources.",Valerie Otero,http://www.per-central.org/perc/2008/detail.cfm?ID=791,University of Colorado Boulder,,2008
732,Contributed Poster,Gender Differences in Conceptual Physics Lab Technology,"Students in a conceptual physics laboratory course making extensive use of new technology were surveyed  on a number of factual and affective topics as part of the ongoing revision of the course.  The results were examined for gender differences, and very few were found.",Dave Van Domelen,http://www.per-central.org/perc/2008/detail.cfm?ID=732,Kansas State University,,2008
730,Contributed Poster,Gender Differences in Student Responses to Peer Instruction,"Laws, et al. found that upper-year female students responded the most negatively to Workshop Physics. Our recent study on student responses to Peer Instruction also found that females rated these methods more negatively, even when controlling for precourse beliefs and expectations. In this poster I will present student interview data exploring the differences between male and female responses to both traditionally-taught and PI-taught introductory physics courses.

Laws, et al. (1999) Am. J. Phys. 67, S1.",Jessica Watkins,http://www.per-central.org/perc/2008/detail.cfm?ID=730,Harvard University,,2008
758,Contributed Poster,"How Abstract is Abstract? Signs, Salience, and Meaning in Physics","External representations, including pictures, graphs, text, gestures, and utterances, are key components of all curricular materials in physics. Such representations play a key role in cognitive function, particularly insofar as individuals interpret the meanings of and apply meanings to these representations. We have proposed a model of how individuals can make meaning of and with external representations through layered analogies and applied this model to learning abstract ideas in physics, i.e. EM waves. [1] [2] We extend this model in two ways. (1) We distinguish individuals interpretations of representations, which can be highly variable and fleeting, from the physics communities agreed upon interpretations, which are more stable and coherent. (2) Two characteristics of representation use emerge: abstraction based on the community consensus of concepts and salience based on readily accessible pieces of knowledge for an individual.

1. N.S. Podolefsky & N.D. Finkelstein, Phys. Rev. ST - Phys. Educ. Res. 3, 010109 (2007)
2. N.S. Podolefsky & N.D. Finkelstein, Phys. Rev. ST - Phys. Educ. Res. 3, 020104 (2007)",Noah S. Podolefsky,http://www.per-central.org/perc/2008/detail.cfm?ID=758,University of Colorado at Boulder,Noah D. Finkelstein,2008
779,Contributed Poster,How Differentials are Taught in Mathematics and Used in Physics,"Differentials are widely used in mathematics and applied in physics and engineering courses. However, there is little understanding of the concept of differentials among undergraduate students. This paper is part of an ongoing project to understand how differentials are taught in mathematics classrooms and used in physics undergraduate courses taken by a diverse group of engineering majors. To that end, we analyzed the mathematics instruction based on what is taught; specifically, we looked at the most commonly used calculus textbooks for a first-year calculus course. It is our claim that the way differentials are introduced in mathematics textbooks does not support undergraduate student understanding of the use of differentials in physics and engineering.",Angeles Dominguez,http://www.per-central.org/perc/2008/detail.cfm?ID=779,"Tecnologico de Monterrey, Campus Monterrey","Ricardo Pulido,
Tecnologico de Monterrey, Campus Monterrey",2008
753,Contributed Poster,"How Students Delineate ""Force"" from Other Terminology: Is There Change Following Instruction?","A short paper and pencil survey was developed to gage the degree students delineate the term force from energy, power, strength and momentum. The items on this survey were modeled after specific items on the FCI.  Upon reading the survey items, students select any combination of responses.  These responses are categorized: 1) strictly force, 2) mixed and 3) force independent.  Pre and post test data were collected using this survey in addition to FCI pre and post data and Lawsons Classroom Test of Scientific Reasoning.  In this poster, the status of this current research will be presented along with a discussion of implications and limitations.",Steven J. Maier,http://www.per-central.org/perc/2008/detail.cfm?ID=753,Northwestern Oklahoma State University,,2008
729,Contributed Poster,How TAs Infer Understanding from Student Responses,"Before we can develop effective, research-based professional development programs for graduate student physics TAs, we must first identify their current classroom practices and why they engage in these practices. Framing, a theoretical framework developed  in sociology and linguistics, provides an analytical toolbox for examining the expectations that guide the actions and attention of individuals while teaching. We use framing to develop fine-grained analyses of two episodes of TAs teaching tutorials. Despite the differences in their behaviors, the two TAs are in a sense both doing the same thing; they organize their interactions with students around searching for indicators that the students understand the targeted ideas.",Renee Michelle Goertzen,http://www.per-central.org/perc/2008/detail.cfm?ID=729,"Physics Department, University of Maryland","Rachel E. Sherr, Physics Department, University of Maryland,  rescherr@umd.edu
Andy Elby, Physics Department, University of Maryland, elby@umd.edu",2008
719,Contributed Poster,Identification of Specific Cognitive Processes Used for In-Depth Problem Solving,"The education and cognitive science literature contains a wide range of ideas about problem solving in math and science and the teaching of scientific problem solving.  Neuroscience studies provide a rich source of information about how the brain works at the cellular level and the location of brain activity while using specific processes. We use the results of research in these fields to frame the 44 specific component processes that were identified while interviewing a wide range of people solving a wide range of in-depth problems during the development of the CAPS (Colorado Assessment of Problem Solving).  Understanding the component processes used in problem solving provides insight for improved teaching.  We will present ways that solvers can compensate for certain weaknesses, show stoppers (processes that are required to solve a problem) and provide a sampling of cognitive processes that are needed in the real world but are not taught in the classroom. 
1. Supported in part by funding from National Science Foundation",Wendy Adams,http://www.per-central.org/perc/2008/detail.cfm?ID=719,"University of Colorado, Boulder","Carl Wieman
University of Brittish Columbia",2008
